Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Thupakulagudem_WL5153,ETURUNAGARAM,CAT-B,1.5125638386234628,40.880262630743225,Decrease,61.71,96.61427540875862,Decrease,"Zero Sector: S1,S2 (B1) | Zero Sector: S0,S2 (B28)","Zero Sector: S1,S2 (B1)","Zero Sector: S0,S2 (B28)",Not Applicable,
Odithala_WL5142,PARKAL,CAT-A,2.705859190784393,4.548936552150787,Decrease,99.49,99.45144933285918,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Varikole_WL2222,PARKAL,CAT-B,5.359907862730311,6.814799516399687,Decrease,100.0,90.5562317690642,Increase,Zero Sector: S1 (B28),Healthy,Zero Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Lavval_577999_UVTSWGL00007,ETURUNAGARAM,CAT-B,5.711103698238725,11.461525849656487,Decrease,44.65,59.87094212186508,Decrease,"Low Sector: S0,S1 (B1) | Zero Sector: S0,S1,S2 (B28)","Low Sector: S0,S1 (B1)","Zero Sector: S0,S1,S2 (B28)",Not Applicable,
Peddakorpole_WL2238,NARSAMPET,CAT-B,5.828361752443001,4.456821155175557,Increase,91.515,88.45949269391483,Increase,Healthy,Healthy,Healthy,Not Applicable,
Banzipet_GTL_WL5074,NARSAMPET,CAT-B,5.94095589779317,9.576848157526285,Decrease,99.78000000000002,99.66934792560077,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Papaiahpeta_WL2200,NARSAMPET,CAT-B,6.202218045480543,7.609271082282052,Decrease,94.57000000000001,95.61413039718845,Decrease,Low Sector: S1 (B1) | Low Sector: S2 (B28),Low Sector: S1 (B1),Low Sector: S2 (B28),Not Applicable,
WL_AzamNgr_Indus_WL5037,PARKAL,CAT-B,6.380977890454217,9.461505402562503,Decrease,96.80499999999999,98.99804345393527,Decrease,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,Advise Marketing Campaign
BANDLAPAHAD_577852(F)_UVTSWGL00154,MULUGU,CAT-B,6.64657647628336,3.442970388568932,Increase,99.50999999999999,99.45583333333332,Increase,Low Sector: S0 (B1) | Low Sector: S2 (B28),Low Sector: S0 (B1),Low Sector: S2 (B28),Not Applicable,
Appalraopet_WL5050,NARSAMPET,CAT-B,7.6343073919415385,5.030715705640604,Increase,80.60333333333334,79.50478267835533,Increase,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,
Nachinapally_WL5062,NARSAMPET,CAT-B,8.496245733462262,6.504857352562237,Increase,96.84833333333331,94.197898336217,Increase,Zero Sector: S1 (B28),Healthy,Zero Sector: S1 (B28),Not Applicable,
Narsapuram_WL2193,MULUGU,CAT-B,8.891818696632969,7.317513213586048,Increase,100.0,99.72688405797099,Increase,Low Sector: S1 (B1) | Zero Sector: S1 (B28),Low Sector: S1 (B1),Zero Sector: S1 (B28),Not Applicable,
Buddaram_indus_WL5068,MULUGU,CAT-B,8.987493996508402,8.043286801781491,Increase,99.7,99.72485501054405,Decrease,Low Sector: S1 (B1) | Zero Sector: S1 (B28),Low Sector: S1 (B1),Zero Sector: S1 (B28),Not Applicable,
Koppula_WL2145,PARKAL,CAT-B,9.363193588331315,8.529976593547795,Increase,98.91833333333334,99.73934774868728,Decrease,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,
