Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Odithala_WL5142,PARKAL,CAT-A,2.592347038909785,4.343597133023034,Decrease,100.0,99.5404348666426,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
BANDLAPAHAD_577852(F)_UVTSWGL00154,MULUGU,CAT-B,3.177938051521768,4.0552806349900985,Decrease,100.0,99.32312499999999,Increase,"Low Sector: S0,S1 (B1)","Low Sector: S0,S1 (B1)",Healthy,Not Applicable,Advise Marketing Campaign
Papaiahpeta_WL2200,NARSAMPET,CAT-B,4.341084294021126,7.637854230869548,Decrease,95.86833333333334,95.38637678063432,Increase,Zero Sector: S1 (B1) | Low Sector: S1 (B28),Zero Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Narsapuram_WL2193,MULUGU,CAT-B,5.497832683846351,7.065086458592352,Decrease,100.0,99.81224641219428,Increase,"Low Sector: S0,S1 (B1) | Low Sector: S2 (B28)","Low Sector: S0,S1 (B1)",Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Varikole_WL2222,PARKAL,CAT-B,6.1514649037271605,6.518059089997148,Decrease,100.0,90.48811586684073,Increase,Zero Sector: S0 (B28),Healthy,Zero Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Peddakorpole_WL2238,NARSAMPET,CAT-B,6.430158693343377,4.685299088495461,Increase,91.77999999999999,88.88115932741022,Increase,"Low Sector: S2 (B1) | Low Sector: S0,S1 (B28)",Low Sector: S2 (B1),"Low Sector: S0,S1 (B28)",Not Applicable,
Buddaram_indus_WL5068,MULUGU,CAT-B,6.851695453748093,8.151568656942482,Decrease,100.0,99.80086963598278,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Banzipet_GTL_WL5074,NARSAMPET,CAT-B,7.379975395277129,9.176276292620829,Decrease,100.0,99.5926812323971,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
WL_AzamNgr_Indus_WL5037,PARKAL,CAT-B,8.471602476201927,9.110136288311315,Decrease,97.375,98.77347833384638,Decrease,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Appalraopet_WL5050,NARSAMPET,CAT-B,8.850360265001639,5.390584732654184,Increase,85.88,79.85152183974996,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,
Lavval_577999_UVTSWGL00007,ETURUNAGARAM,CAT-B,9.32118317577987,11.244528007693562,Decrease,43.285,57.46623195040052,Decrease,"Low Sector: S0,S2 (B1) | Zero Sector: S0,S1,S2 (B28)","Low Sector: S0,S2 (B1)","Zero Sector: S0,S1,S2 (B28)",Not Applicable,
Pathepalle_WL2237,MULUGU,CAT-B,9.97358181048182,9.988458083135368,Decrease,100.0,99.87036235643471,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Varikolpally_278011_UVTSWGL00005,PARKAL,CAT-B,10.492910265922532,7.673623253311951,Increase,100.0,99.46398534138997,Increase,Low Sector: S1 (B1) | Low Sector: S0 (B28),Low Sector: S1 (B1),Low Sector: S0 (B28),Not Applicable,
Nachinapally_WL5062,NARSAMPET,CAT-B,10.562158289365456,6.424562325483795,Increase,98.32333333333334,94.03528965825616,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,
Garimillapalle_WL2154,PARKAL,CAT-B,10.582541619427477,17.52115864486742,Decrease,100.0,99.6631159199148,Increase,Low Sector: S1 (B1) | Low Sector: S2 (B28),Low Sector: S1 (B1),Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Koppula_WL2145,PARKAL,CAT-B,10.670079929754124,8.502881642803533,Increase,100.0,99.63768105548361,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,
Isipet_GTL_WL5079,PARKAL,CAT-B,10.738913509063412,10.100464040134087,Increase,100.0,99.48594186534051,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,
Pulakurthy_WL2267,PARKAL,CAT-B,12.061237211339154,8.84987903675063,Increase,100.0,99.57384034529977,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S0,S1 (B28)","Low Sector: S1,S2 (B1)","Low Sector: S0,S1 (B28)",Not Applicable,
Gorlavedu_WL2155,PARKAL,CAT-B,12.507647295482442,10.403375642995025,Increase,100.0,99.66840583690697,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,
Pallampet_ITIL_WL5181,MULUGU,CAT-B,12.848605292849227,14.392395014222693,Decrease,100.0,99.82746374157891,Increase,"Low Sector: S0,S1 (B28)",Healthy,"Low Sector: S0,S1 (B28)",Not Applicable,Advise Marketing Campaign
Gundenga_WL5059,NARSAMPET,CAT-B,13.066163075156487,15.257058542004453,Decrease,100.0,98.30840578825575,Increase,"Low Sector: S0,S1 (B28)",Healthy,"Low Sector: S0,S1 (B28)",Not Applicable,Advise Marketing Campaign
Ameenabad_WL2137,NARSAMPET,CAT-B,13.15277528390286,12.5583361500874,Increase,100.0,97.68956524392833,Increase,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,
Nadikuda_WL2240,PARKAL,CAT-B,14.170025385916217,15.516528672755987,Decrease,100.0,99.68557941823765,Increase,"Low Sector: S0,S1 (B1)","Low Sector: S0,S1 (B1)",Healthy,Not Applicable,Advise Marketing Campaign
Maheswaram_WL5027,NARSAMPET,CAT-B,14.594883839599776,21.008423407375783,Decrease,100.0,99.78601445737092,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Mogullapalli_WL2245,PARKAL,CAT-B,16.322964220307753,17.910806023484692,Decrease,100.0,99.62992752075195,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S0,S2 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S0,S2 (B28)",Not Applicable,Advise Marketing Campaign
Redlawada_WL2214,NARSAMPET,CAT-B,17.502482336945825,18.232214309492438,Decrease,100.0,95.37702878869099,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Girnibavi_WL2068,NARSAMPET,CAT-B,18.701194358989568,23.11404474256558,Decrease,100.0,99.59072460008701,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Tekumatla_WL2218,PARKAL,CAT-B,18.910072522237876,20.866159026200553,Decrease,100.0,99.68971014935036,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Banjarellapur_577983_UVTSWGL00003,ETURUNAGARAM,CAT-B,21.006769523024545,11.744547471279876,Increase,83.33333333333333,60.37952400570824,Increase,"Low Sector: S0,S1 (B1) | Zero Sector: S0 (B28)","Low Sector: S0,S1 (B1)",Zero Sector: S0 (B28),Not Applicable,
Chandrugonda_WL_WL5052,NARSAMPET,CAT-B,22.00613257568328,20.825523526811327,Increase,97.72333333333334,95.96427528713058,Increase,Healthy,Healthy,Healthy,Not Applicable,
Motlagudem_578006_UVTSWGL00125,MULUGU,CAT-A,22.94143255148073,27.29996217209841,Decrease,100.0,99.82637678505718,Increase,Healthy,Not Applicable,Healthy,Not Applicable,Advise Marketing Campaign
Jangedu_Mini_WL2161,PARKAL,CAT-B,24.60185784939675,27.966962342088387,Decrease,98.79,99.10449271602906,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Nekkonda_WL2037,NARSAMPET,CAT-B,25.40409909468142,34.81880421930301,Decrease,100.0,99.82934783714406,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Ootai_WL2198,NARSAMPET,CAT-B,25.411678614094818,27.439058621662337,Decrease,100.0,97.99347843999449,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Rainigudem_WL_WL5141,MULUGU,CAT-B,26.750982007943072,20.882881217511965,Increase,100.0,97.36514487888502,Increase,Low Sector: S0 (B1) | Low Sector: S1 (B28),Low Sector: S0 (B1),Low Sector: S1 (B28),Not Applicable,
Chityala_WL2064,PARKAL,CAT-B,26.87844505533573,28.824669859247873,Decrease,100.0,99.63942023235818,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Thimmapur_578480_UVTSWGL00080,NARSAMPET,CAT-B,29.964015627279842,41.85329285673785,Decrease,100.0,96.73485502712967,Increase,Low Sector: S2 (B1),Low Sector: S2 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Regonda_WL2089,PARKAL,CAT-B,30.855639470741117,31.884253797649034,Decrease,100.0,99.67224610480709,Increase,"Low Sector: S1 (B1) | Low Sector: S0,S1 (B28)",Low Sector: S1 (B1),"Low Sector: S0,S1 (B28)",Not Applicable,Advise Marketing Campaign
GUNDAM_213697(F)_UVTSWGL00013,NARSAMPET,CAT-B,31.130247513763493,29.225946528837017,Increase,100.0,92.92886345083062,Increase,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,
Venkatapur_WL_1_WL2093,MULUGU,CAT-B,31.33370753750198,29.142672547760057,Increase,100.0,99.81036226797794,Increase,Low Sector: S0 (B1) | Low Sector: S1 (B28),Low Sector: S0 (B1),Low Sector: S1 (B28),Not Applicable,
Narsaiguem_278341_UVTSWGL00057,ETURUNAGARAM,CAT-B,31.796057260595198,29.101763215133232,Increase,100.0,99.38028979315273,Increase,"Low Sector: S2 (B1) | Low Sector: S1,S2 (B28)",Low Sector: S2 (B1),"Low Sector: S1,S2 (B28)",Not Applicable,
MDRM_Jakaram_WL2274,MULUGU,CAT-B,33.29533136356616,33.26707022947563,Increase,100.0,97.21594208648239,Increase,"Low Sector: S2 (B1) | Low Sector: S0,S1 (B28)",Low Sector: S2 (B1),"Low Sector: S0,S1 (B28)",Not Applicable,
Bothavaniguda_578432_UVTSWGL00064,NARSAMPET,CAT-A,33.312226281501296,39.54102251557622,Decrease,100.0,96.83579725403716,Increase,Healthy,Not Applicable,Healthy,Not Applicable,Advise Marketing Campaign
Kothurmotlagudem_278332_UVTSWGL00002,ETURUNAGARAM,CAT-B,34.58227768260976,20.4268688356814,Increase,100.0,99.3789129793471,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,
Gurajala_WL5033,NARSAMPET,CAT-B,35.89784657023845,10.193699723699421,Increase,99.005,99.58666661801544,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Ootla_578465_UVTSWGL00099,NARSAMPET,CAT-B,36.19112850818775,35.2883272724846,Increase,48.95000000000001,66.10630432792331,Decrease,"Zero Sector: S0,S1,S2 (B28)",Healthy,"Zero Sector: S0,S1,S2 (B28)",Not Applicable,
Shyampet-NB_WL2090,PARKAL,CAT-B,38.42674595769487,37.19982021842145,Increase,100.0,99.6988404801963,Increase,Healthy,Healthy,Healthy,Not Applicable,
Nandigama_WL_WL5061,NARSAMPET,CAT-B,38.69561731535933,33.50698973840714,Increase,100.0,99.76311609682828,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S0 (B28)","Low Sector: S1,S2 (B1)",Low Sector: S0 (B28),Not Applicable,
Edullapalli_WL2134,NARSAMPET,CAT-B,39.527133558876685,31.598773764756757,Increase,100.0,96.46978242846501,Increase,"Low Sector: S0 (B1) | Low Sector: S0,S1 (B28)",Low Sector: S0 (B1),"Low Sector: S0,S1 (B28)",Not Applicable,
Medipalli_Nallabelli_WL2234,NARSAMPET,CAT-B,41.1356938853859,41.39344049636268,Decrease,100.0,98.10826096023337,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Thupakulagudem_WL5153,ETURUNAGARAM,CAT-B,41.637745231389935,38.49323055725539,Increase,100.0,94.0605072928166,Increase,"Low Sector: S0,S1 (B1) | Low Sector: S1 (B28)","Low Sector: S0,S1 (B1)",Low Sector: S1 (B28),Not Applicable,
Upparapalle_WL2221,NARSAMPET,CAT-B,41.91079736407827,16.817483745484285,Increase,100.0,99.67905793784321,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,
Ankampally_278359_UVTSWGL00046,ETURUNAGARAM,CAT-A,44.30188792943949,34.747331211498555,Increase,100.0,99.43043507451597,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,
Bhupalapally_WL_WL2012,PARKAL,CAT-C,45.68893565796302,52.4514865946644,Decrease,97.37,99.50739124685091,Decrease,Zero Sector: S1 (B41),Not Applicable,Healthy,Zero Sector: S1 (B41),Advise Marketing Campaign
RAMAVARAM_578417(F)_UVTSWGL00036,NARSAMPET,CAT-B,49.317400890402354,43.28730501993907,Increase,99.44,98.24187500000001,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S0,S1 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S0,S1 (B28)",Not Applicable,
Duggondi_WL2151,NARSAMPET,CAT-B,50.72421646211291,46.6733399983184,Increase,100.0,99.72818833282028,Increase,Healthy,Healthy,Healthy,Not Applicable,
Waddegudem_577977_UVTSWGL00094,ETURUNAGARAM,CAT-A,51.489013001322675,40.251523185738634,Increase,100.0,99.75898553820625,Increase,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,
Mulugu_Ghanpur_WL2067,MULUGU,CAT-B,52.02051396574803,49.50058386040219,Increase,100.0,99.81326090937075,Increase,Healthy,Healthy,Healthy,Not Applicable,
Kanthanapalle_279531_UVTSWGL00011,ETURUNAGARAM,CAT-A,52.57794752996409,47.06665951482323,Increase,100.0,99.78420302681302,Increase,Low Sector: S1 (B28),Not Applicable,Low Sector: S1 (B28),Not Applicable,
ParkalNB_WL2132,PARKAL,CAT-B,53.35128458775571,48.657003465449954,Increase,100.0,99.64956504932347,Increase,Healthy,Healthy,Healthy,Not Applicable,
Narsimhasagar_WL5046,ETURUNAGARAM,CAT-B,54.9630774222313,55.396922710351504,Decrease,100.0,99.50572477036627,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Nallabelly_WL_WL2083,NARSAMPET,CAT-B,55.0098016420378,58.82191437166172,Decrease,100.0,99.2585506914664,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Pakalashoknagr_WL2199,NARSAMPET,CAT-B,58.35771176777761,45.406823766169374,Increase,100.0,96.99362305129782,Increase,Healthy,Healthy,Healthy,Not Applicable,
Karnegandi_578414_UVTSWGL00062,NARSAMPET,CAT-B,58.41998800821594,56.558436873555074,Increase,100.0,95.78028994021209,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S0,S2 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S0,S2 (B28)",Not Applicable,
Chennaraopet_WL5107,NARSAMPET,CAT-B,59.09264757111646,52.57341686841091,Increase,100.0,99.83282616877901,Increase,Low Sector: S2 (B1) | Low Sector: S0 (B28),Low Sector: S2 (B1),Low Sector: S0 (B28),Not Applicable,
Mallampalli_WL2257,MULUGU,CAT-B,64.82166508678343,68.28869186912962,Decrease,100.0,99.83565221371857,Increase,Low Sector: S2 (B1),Low Sector: S2 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Parakala_WL_WL2039,PARKAL,CAT-B,66.31478132121234,65.69108433471975,Increase,100.0,99.60702885282211,Increase,Healthy,Healthy,Healthy,Not Applicable,
Challagarega_WL2143,PARKAL,CAT-B,66.76509595476084,62.15893683535969,Increase,100.0,99.52007266721864,Increase,"Low Sector: S1,S2 (B1)","Low Sector: S1,S2 (B1)",Healthy,Not Applicable,
Medaram_EM_WL2251_Existing,ETURUNAGARAM,CAT-A,67.55052630417045,75.61368070815992,Decrease,100.0,99.31768119922582,Increase,Low Sector: S1 (B28),Not Applicable,Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Chityala_577877_UVTSWGL00039,ETURUNAGARAM,CAT-A,68.16047458071239,62.28226403587803,Increase,100.0,99.7907246774867,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Bhupathipuram_577863_UVTSWGL00040,ETURUNAGARAM,CAT-A,69.4632345698773,68.82797428946931,Increase,100.0,99.67086970232535,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
